orderID,orderPrice,salesTax,orderDate,orderTime,tips,employeeID,customerID
54,36.62,1.92,2025-06-10,11:59:28,4,4,199
55,31.53,1.68,2026-03-15,20:52:45,3,9,214
56,27.58,1.33,2025-10-05,20:51:59,5,6,87
57,31.73,1.63,2025-06-03,21:12:43,4,4,112
58,17.28,0.78,2025-09-15,17:33:39,4,4,115
59,10.84,0.34,2025-02-13,12:23:10,5,5,90
60,8.59,0.39,2025-04-07,15:04:42,2,1,210
61,11.32,0.37,2025-11-06,17:51:35,5,10,112
62,15.48,0.73,2025-03-04,11:19:17,3,4,114
63,35.67,1.92,2025-01-08,15:03:56,3,9,192
64,17.22,0.72,2025-02-17,21:54:01,5,10,35
65,16.93,0.88,2026-02-17,11:01:05,2,1,240
66,17.3,0.9,2025-09-05,16:00:09,2,10,33
67,47.31,2.61,2025-09-18,15:51:08,3,2,235
68,6.95,0.35,2026-01-31,13:05:36,1,7,41
69,17.43,0.73,2026-03-09,13:08:01,5,10,179
70,44.05,2.3,2026-01-13,20:50:05,5,7,110
71,16.22,0.72,2025-01-24,19:53:37,4,3,238
72,35.03,1.88,2026-03-20,19:47:27,3,8,40
73,22.36,1.26,2025-08-26,15:38:18,1,1,20
74,16.92,0.82,2025-12-08,20:37:46,3,5,73
75,25.56,1.21,2025-12-02,16:56:39,5,2,212
76,11.17,0.42,2025-07-24,12:20:04,4,9,20
77,17.36,0.96,2026-01-10,12:59:41,1,8,62
78,30.99,1.59,2025-01-12,16:49:40,4,7,57
79,14.22,0.72,2025-11-03,14:46:28,2,8,81
80,15.45,0.85,2025-08-27,20:52:01,1,10,69
81,47.56,2.56,2025-05-16,11:43:34,4,1,127
82,11.12,0.42,2025-04-04,17:58:56,4,7,33
83,17.89,0.99,2025-06-16,13:52:18,1,8,123
84,33.5,1.85,2025-10-30,18:28:50,2,4,135
85,16.17,0.72,2025-06-28,12:00:02,4,2,222
86,10.05,0.3,2025-07-26,21:45:22,5,9,26
87,42.61,2.21,2025-06-09,11:31:18,5,3,229
88,15.34,0.84,2025-01-14,17:36:05,1,4,201
89,28.5,1.5,2025-07-04,15:47:04,3,5,145
90,14.67,0.57,2025-06-27,21:27:05,5,4,60
91,17.24,0.84,2025-11-22,17:21:56,3,4,126
92,36.26,1.96,2025-02-04,15:26:59,3,4,198
93,22.0,1.0,2025-12-21,17:52:16,5,10,50
94,21.39,1.14,2025-10-31,13:37:16,2,10,75
95,16.94,0.94,2025-09-29,11:40:44,1,8,142
96,6.58,0.33,2025-03-01,13:57:23,1,2,33
97,40.44,2.14,2025-05-16,11:38:44,4,3,106
98,14.27,0.72,2025-03-22,11:31:02,2,1,168
99,39.16,2.01,2025-09-07,14:59:55,5,2,220
100,32.17,1.77,2025-01-11,18:52:44,2,7,119
101,41.93,2.23,2025-11-07,12:43:49,4,1,22
102,14.81,0.81,2025-10-18,20:23:52,1,1,75
103,13.31,0.61,2025-01-10,20:35:44,3,9,127
104,28.61,1.51,2025-01-13,17:51:36,3,6,156
105,21.02,1.12,2025-05-03,21:23:24,2,2,93
106,12.23,0.48,2026-04-02,16:18:59,4,9,227
107,29.99,1.59,2026-03-22,18:21:03,3,8,115
108,12.44,0.44,2025-07-22,18:58:29,5,10,250
109,27.46,1.56,2026-02-27,12:52:59,1,10,102
110,25.65,1.45,2025-12-17,11:46:05,1,8,74
111,25.63,1.33,2025-03-04,13:47:49,3,6,5
112,19.45,0.85,2026-03-09,16:50:56,5,4,36
113,36.7,2.1,2025-11-17,15:54:25,1,4,230
114,25.41,1.26,2025-08-31,13:34:13,4,1,105
115,8.58,0.33,2025-03-11,11:01:14,3,4,240
116,7.58,0.33,2025-08-13,19:44:24,2,6,111
117,24.74,1.34,2025-08-09,15:45:15,2,5,196
118,11.27,0.37,2025-10-01,13:12:47,5,5,181
119,21.98,1.23,2025-09-25,19:53:16,1,10,56
120,28.85,1.4,2025-02-28,19:51:34,5,8,205
121,21.92,1.17,2026-02-22,14:25:42,2,3,152
122,10.6,0.45,2025-03-05,15:29:54,3,9,22
123,37.99,1.94,2025-10-28,22:10:31,5,9,193
124,18.71,0.81,2025-10-09,20:13:18,5,9,136
125,45.92,2.52,2025-04-09,21:59:43,3,10,133
126,22.78,1.28,2025-04-14,14:45:02,1,2,247
127,22.92,1.17,2025-05-30,21:49:30,3,4,55
128,13.77,0.57,2025-06-06,15:35:42,4,8,31
129,8.05,0.3,2025-07-05,13:47:56,3,6,83
130,15.58,0.68,2025-03-26,11:22:40,4,3,163
131,32.02,1.77,2025-05-20,14:14:32,2,7,210
132,18.88,0.88,2025-12-16,15:59:31,4,2,239
133,33.65,1.8,2025-04-18,15:41:22,3,2,132
134,23.45,1.2,2025-11-18,17:44:21,3,8,47
135,33.44,1.79,2025-12-16,12:09:02,3,6,121
136,14.23,0.78,2025-12-17,18:48:51,1,8,62
137,25.96,1.41,2025-01-01,18:06:29,2,4,201
138,25.93,1.23,2025-12-03,21:46:44,5,8,172
139,14.64,0.74,2025-06-16,12:15:47,2,5,20
140,21.8,1.05,2025-08-25,20:28:27,4,7,23
141,27.03,1.53,2025-07-16,13:22:34,1,9,234
142,45.78,2.58,2025-10-23,15:45:19,2,9,40
143,26.48,1.38,2025-06-10,18:21:09,3,8,56
144,27.33,1.43,2026-02-22,14:40:34,3,9,198
145,8.97,0.47,2025-12-21,19:35:33,1,9,172
146,7.85,0.4,2025-06-15,19:08:06,1,9,19
147,24.91,1.41,2025-09-14,21:10:21,1,4,18
148,23.9,1.35,2026-03-10,16:09:07,1,3,82
149,31.74,1.69,2025-06-07,14:37:06,3,6,1
150,21.47,0.97,2025-11-26,20:40:32,5,2,128
151,42.37,2.32,2025-11-08,19:40:25,3,4,163
152,32.43,1.73,2025-08-04,11:51:39,3,9,124
153,17.18,0.78,2026-02-17,19:02:39,4,4,76
154,40.7,2.1,2025-05-21,21:35:05,5,5,168
155,21.87,1.17,2025-04-23,16:19:52,2,5,50
156,18.28,0.78,2025-02-16,15:07:36,5,3,121
157,37.43,2.08,2026-03-21,20:34:31,2,7,114
158,9.71,0.51,2025-03-19,14:13:19,1,1,105
159,31.78,1.63,2025-11-06,13:04:44,4,8,93
160,11.11,0.36,2025-04-28,13:09:05,5,3,15
161,20.83,0.93,2025-03-22,16:44:38,5,1,234
162,32.17,1.72,2026-04-07,20:28:20,3,3,65
163,38.54,2.09,2025-01-20,11:39:33,3,10,250
164,13.11,0.71,2025-08-02,14:03:29,1,7,20
165,18.42,0.97,2025-09-11,19:45:48,2,8,83
166,24.76,1.16,2025-01-28,14:52:36,5,7,226
167,6.83,0.28,2025-09-30,17:01:04,2,7,115
168,19.19,0.89,2025-02-21,20:46:45,4,7,233
169,8.11,0.36,2025-08-12,18:18:02,2,3,38
170,64.99,3.59,2025-08-30,20:53:43,4,5,69
171,19.59,1.09,2025-05-14,16:21:20,1,10,125
172,23.02,1.12,2025-08-28,12:11:04,4,4,119
173,25.62,1.27,2025-01-10,21:35:50,4,3,47
174,25.24,1.19,2026-01-13,15:13:39,5,5,55
175,24.03,1.18,2025-10-22,15:56:13,4,10,28
176,27.93,1.58,2025-09-02,19:50:46,1,7,168
177,30.78,1.63,2025-08-02,21:25:23,3,8,47
178,34.46,1.91,2025-08-10,11:46:41,2,4,212
179,38.66,2.16,2025-07-01,21:28:00,2,1,62
180,12.52,0.62,2025-10-22,17:51:13,2,1,53
181,25.12,1.42,2025-11-12,20:51:10,1,1,133
182,20.82,1.17,2025-02-17,20:54:20,1,4,206
183,24.88,1.23,2025-07-05,18:21:28,4,2,69
184,18.88,0.88,2025-03-06,16:27:05,4,9,153
185,9.11,0.36,2026-01-23,16:03:03,3,3,89
186,40.65,2.1,2025-04-05,16:29:39,5,3,87
187,26.11,1.36,2026-04-06,22:24:24,3,4,100
188,31.88,1.58,2025-05-02,21:53:02,5,9,37
189,9.11,0.36,2025-12-09,13:52:19,3,5,37
190,13.99,0.59,2025-10-21,11:45:30,4,7,12
191,6.26,0.31,2025-10-17,13:22:31,1,6,49
192,15.64,0.74,2025-12-30,17:15:22,3,3,80
193,32.5,1.85,2026-02-12,17:22:38,1,4,41
194,9.96,0.41,2025-05-10,21:17:29,3,3,240
195,43.39,2.49,2025-09-20,17:58:11,1,2,7
196,17.22,0.72,2025-11-01,17:58:41,5,6,102
197,42.63,2.33,2025-11-04,19:15:38,3,2,199
198,9.11,0.36,2025-10-26,20:46:29,3,9,208
199,29.25,1.6,2026-03-21,13:56:00,2,2,4
200,30.25,1.6,2025-02-14,11:28:32,3,7,204
201,14.69,0.69,2026-01-19,20:54:35,3,3,131
202,49.47,2.67,2025-05-23,17:34:22,4,5,195
203,18.08,0.83,2025-09-29,11:24:34,4,5,26
204,34.84,1.99,2025-08-01,11:20:01,1,7,79
205,28.44,1.44,2025-05-30,17:57:07,4,8,250
206,22.41,1.26,2026-03-21,11:53:00,1,7,207
207,33.23,1.78,2025-12-14,16:53:24,3,6,62
208,17.99,0.94,2026-03-26,15:28:19,2,6,211
209,15.42,0.67,2025-05-18,15:46:57,4,6,128
210,39.42,2.02,2025-09-21,21:18:47,5,8,85
211,24.2,1.25,2026-03-18,15:03:21,3,2,230
212,16.18,0.78,2025-06-12,19:48:33,3,3,235
213,45.82,2.52,2025-12-20,13:41:33,3,4,168
214,11.67,0.57,2025-04-19,21:14:34,2,5,232
215,11.77,0.52,2025-01-20,18:05:27,3,10,44
216,12.33,0.43,2025-07-10,12:27:01,5,1,189
217,27.68,1.33,2025-03-15,12:55:42,5,3,122
218,12.87,0.52,2025-02-21,13:01:10,4,3,23
219,12.23,0.48,2025-01-09,15:02:21,4,10,223
220,35.87,1.82,2025-03-31,11:22:00,5,2,145
221,20.42,1.02,2025-02-24,15:13:29,3,4,130
222,31.06,1.71,2025-12-14,13:16:45,2,9,216
223,9.43,0.38,2025-01-26,13:45:25,3,5,199
224,14.73,0.63,2026-03-05,17:56:57,4,8,197
225,32.34,1.84,2025-05-01,21:04:35,1,7,161
226,22.36,1.26,2025-02-12,15:01:21,1,1,10
227,16.81,0.81,2025-11-20,15:58:09,3,2,221
228,31.15,1.6,2025-11-08,18:13:31,4,6,238
229,22.86,1.11,2025-10-20,12:45:07,4,10,104
230,16.81,0.81,2026-03-05,15:51:05,3,1,47
231,11.7,0.45,2025-06-27,18:03:28,4,3,96
232,37.22,2.07,2025-05-13,14:05:04,2,10,59
233,9.7,0.45,2025-05-23,14:00:54,2,3,109
234,19.88,0.88,2026-01-21,15:31:34,5,6,23
235,12.31,0.61,2025-01-23,20:53:19,2,4,182
236,14.09,0.59,2025-12-27,15:21:25,4,2,115
237,45.73,2.63,2025-11-19,13:08:09,1,3,162
238,17.47,0.97,2025-01-03,11:38:16,1,5,16
239,14.19,0.54,2025-12-23,12:29:54,5,7,173
240,13.22,0.72,2025-04-06,15:14:01,1,9,84
241,23.01,1.06,2025-04-30,13:29:54,5,8,10
242,16.49,0.79,2025-09-21,16:35:05,3,10,51
243,14.92,0.82,2025-03-19,12:49:30,1,5,234
244,6.58,0.33,2025-07-02,17:42:31,1,10,184
245,13.52,0.62,2025-05-05,12:28:12,3,4,17
246,9.59,0.39,2026-03-28,12:49:27,3,7,180
247,15.92,0.82,2025-12-15,13:17:19,2,4,129
248,30.48,1.73,2025-05-25,19:40:25,1,1,221
249,21.65,1.1,2025-03-31,22:11:25,3,4,183
250,51.75,2.75,2025-07-09,11:44:39,5,4,107
251,19.17,1.07,2026-01-23,20:32:51,1,4,103
252,24.36,1.26,2025-02-24,19:50:19,3,10,55
253,9.44,0.44,2025-10-24,19:17:18,2,3,183
254,14.09,0.59,2025-05-11,21:10:30,4,3,186
255,55.33,3.08,2025-08-30,19:03:28,3,6,88
256,41.55,2.15,2026-03-22,14:50:58,5,10,118
257,11.13,0.48,2025-04-13,13:29:09,3,1,216
258,27.43,1.38,2025-12-02,17:23:06,4,6,183
259,21.21,1.01,2025-03-29,13:51:50,4,4,246
260,16.64,0.74,2025-04-05,21:27:31,4,8,126
261,12.7,0.45,2026-01-17,17:45:43,5,9,221
262,20.9,1.05,2025-01-07,18:07:29,3,6,133
263,12.3,0.55,2025-11-13,11:26:25,3,3,59
264,7.91,0.41,2025-05-15,15:40:01,1,3,96
265,37.87,2.17,2025-06-10,17:38:53,1,4,205
266,14.69,0.69,2025-02-26,14:20:22,3,10,111
267,9.12,0.42,2025-12-11,19:15:46,2,8,131
268,14.22,0.72,2025-09-22,11:25:53,2,9,196
269,9.79,0.34,2025-03-05,20:27:06,4,9,102
270,36.03,1.88,2025-05-07,15:37:58,4,6,149
271,21.38,1.08,2025-07-28,15:11:42,3,7,226
272,22.52,1.27,2025-11-06,20:36:56,1,6,240
273,18.88,0.88,2025-07-07,15:43:20,4,2,191
274,31.68,1.63,2025-10-30,18:41:34,4,3,136
275,15.7,0.75,2026-02-09,14:29:34,3,10,103
276,33.97,1.82,2025-10-13,22:29:50,3,5,142
277,29.76,1.46,2025-09-15,21:40:15,5,5,153
278,30.29,1.49,2026-03-25,21:53:28,5,4,51
279,25.2,1.25,2025-02-09,17:48:04,4,6,60
280,33.06,1.71,2025-03-21,20:13:53,4,7,218
281,26.44,1.44,2026-01-13,14:31:40,2,9,13
282,34.63,1.98,2025-05-07,13:45:30,1,8,243
283,34.31,1.96,2025-12-18,14:02:55,1,4,234
284,34.24,1.84,2025-02-24,18:54:12,3,2,199
285,9.9,0.35,2025-07-24,19:21:12,4,9,57
286,16.77,0.87,2025-07-15,11:44:45,2,10,153
287,22.05,1.0,2025-05-23,12:43:04,5,7,87
288,18.68,0.98,2025-07-07,18:07:58,2,1,159
289,19.47,0.97,2025-01-24,11:34:00,3,1,136
290,24.53,1.38,2025-11-11,19:00:40,1,3,188
291,36.81,2.11,2026-02-08,20:41:58,1,10,73
292,11.12,0.42,2025-07-09,18:25:41,4,10,123
293,45.27,2.37,2025-07-07,19:38:30,5,8,85
294,25.52,1.32,2025-02-22,21:39:44,3,3,137
295,22.21,1.01,2025-12-05,15:00:44,5,6,156
296,20.92,1.17,2025-05-21,20:08:44,1,10,12
297,8.17,0.42,2025-06-27,13:40:30,1,6,84
298,27.81,1.46,2025-10-19,21:01:00,3,3,25
299,25.37,1.32,2025-08-09,11:50:19,3,8,174
300,33.43,1.73,2025-01-24,15:32:49,4,2,33
301,9.22,0.37,2025-12-04,19:38:37,3,6,190
302,26.92,1.52,2025-03-22,20:41:04,1,2,45
303,17.75,0.75,2025-08-19,20:38:07,5,1,11
304,29.23,1.48,2025-11-29,18:00:56,4,2,155
305,32.09,1.59,2026-03-18,11:07:12,5,4,134
306,29.14,1.54,2026-03-09,16:20:54,3,5,144
307,17.04,0.94,2025-07-08,15:21:26,1,7,32
308,13.61,0.51,2026-01-19,15:53:05,5,4,195
309,15.56,0.86,2026-02-19,13:17:12,1,6,138
310,33.48,1.73,2025-05-27,19:30:30,4,4,125
311,16.58,0.68,2025-12-18,20:45:01,5,6,219
312,37.3,1.9,2025-11-13,16:07:49,5,6,52
313,18.21,1.01,2026-01-04,15:04:13,1,9,109
314,15.69,0.69,2025-01-25,16:43:59,4,1,161
315,7.22,0.37,2025-03-31,11:47:51,1,6,123
316,19.05,1.0,2025-10-07,20:38:27,2,6,119
317,22.07,1.12,2025-06-28,19:26:27,3,10,70
318,11.03,0.53,2025-06-20,16:06:21,2,4,97
319,23.49,1.09,2025-11-08,13:28:20,5,9,78
320,17.67,0.92,2025-06-23,22:06:19,2,9,65
321,7.11,0.36,2025-06-05,13:31:20,1,4,205
322,10.32,0.37,2025-09-29,20:14:26,4,9,55
323,17.54,0.74,2025-06-24,12:03:40,5,8,118
324,26.89,1.29,2025-01-05,21:21:26,5,9,242
325,15.64,0.74,2025-08-04,14:12:08,3,1,127
326,7.68,0.33,2025-12-18,16:24:23,2,10,73
327,21.32,1.02,2025-07-13,15:06:53,4,6,66
328,31.15,1.6,2025-03-19,19:08:32,4,4,80
329,9.22,0.42,2026-01-02,18:17:03,2,10,51
330,34.01,1.71,2025-03-16,13:14:08,5,10,190
331,8.85,0.4,2025-03-13,14:04:16,2,7,123
332,16.92,0.82,2025-05-19,14:33:05,3,6,71
333,21.55,1.15,2025-11-07,13:59:37,2,4,154
334,21.4,1.2,2025-09-04,16:41:55,1,1,50
335,16.64,0.74,2025-05-16,19:15:28,4,5,53
336,37.33,2.08,2026-03-18,13:30:30,2,9,89
337,37.71,2.16,2025-06-11,14:05:08,1,1,19
338,29.04,1.59,2026-01-28,16:15:15,2,6,84
339,26.7,1.45,2025-12-16,15:49:00,2,6,105
340,33.72,1.87,2026-03-17,11:14:20,2,8,63
341,38.04,1.94,2025-04-08,20:37:22,5,9,34
342,9.9,0.35,2025-05-06,15:47:38,4,2,90
343,13.58,0.68,2025-04-30,15:47:46,2,10,114
344,7.91,0.41,2025-06-24,22:19:12,1,1,212
345,24.07,1.12,2026-01-30,14:23:06,5,2,240
346,15.49,0.79,2025-01-23,19:55:47,2,4,123
347,30.15,1.6,2026-03-11,21:53:54,3,7,58
348,19.22,1.07,2026-02-19,12:52:44,1,9,76
349,16.6,0.8,2025-02-28,21:20:39,3,2,153
350,30.11,1.71,2026-03-20,17:45:29,1,2,69
351,10.26,0.31,2025-12-07,15:24:52,5,10,127
352,34.72,1.87,2025-06-26,13:42:36,3,10,178
353,29.81,1.46,2025-10-01,13:24:26,5,7,199
354,17.28,0.78,2025-08-10,15:00:53,4,3,127
355,9.65,0.45,2026-01-10,17:50:41,2,8,85
356,37.28,2.08,2025-04-25,19:05:32,2,8,148
357,17.34,0.84,2025-10-30,15:18:26,3,2,155
358,7.59,0.39,2026-02-20,19:15:08,1,4,10
359,28.91,1.41,2025-07-02,17:34:16,5,4,142
360,32.75,1.75,2025-04-28,11:09:22,3,4,158
361,14.58,0.68,2025-08-21,13:56:05,3,7,71
362,42.52,2.27,2025-08-11,20:33:03,4,9,219
363,12.5,0.5,2025-08-06,15:21:24,4,8,99
364,12.38,0.43,2026-04-06,14:43:23,5,4,168
365,7.62,0.27,2025-11-25,14:44:41,3,7,19
366,16.24,0.84,2025-03-25,20:26:42,2,9,130
367,16.22,0.72,2025-10-22,18:16:37,4,5,75
368,42.84,2.34,2025-06-25,12:49:30,3,4,155
369,8.11,0.36,2026-03-03,13:52:39,2,10,171
370,22.18,1.13,2025-12-09,15:35:38,3,2,166
371,25.54,1.44,2025-09-09,13:06:01,1,7,49
372,12.37,0.67,2025-10-13,17:11:56,1,6,192
373,45.65,2.45,2025-05-08,13:31:04,4,4,57
374,17.62,0.92,2025-11-22,20:21:42,2,4,161
375,9.91,0.41,2025-04-21,12:03:27,3,2,219
376,20.95,1.0,2025-11-13,21:09:09,4,6,169
377,34.11,1.71,2025-02-17,11:21:08,5,7,218
378,12.79,0.69,2025-07-30,12:32:26,1,3,247
379,14.16,0.66,2025-08-05,13:50:33,3,1,150
380,26.3,1.25,2025-03-03,11:36:11,5,9,60
381,24.48,1.38,2026-03-13,19:43:30,1,1,196
382,24.25,1.25,2025-04-15,12:49:47,3,3,37
383,12.39,0.49,2025-03-30,16:36:34,4,4,223
384,13.45,0.5,2025-11-07,12:22:16,5,10,217
385,38.64,2.04,2025-04-13,15:12:10,4,9,90
386,10.6,0.45,2025-06-20,12:52:30,3,8,234
387,36.79,1.99,2025-11-30,14:58:44,3,9,74
388,30.34,1.49,2025-09-24,11:55:23,5,5,188
389,12.17,0.42,2025-07-07,18:40:10,5,6,93
390,24.09,1.24,2025-04-16,11:33:52,3,7,57
391,29.46,1.56,2025-03-15,13:37:11,3,4,158
392,35.95,2.0,2025-10-23,21:04:23,2,3,219
393,27.13,1.48,2025-02-21,15:12:55,2,3,122
394,28.62,1.62,2025-03-24,16:34:11,1,5,232
395,21.54,1.09,2025-01-17,16:27:54,3,1,39
396,36.06,2.06,2025-10-16,19:56:07,1,1,220
397,7.05,0.3,2025-10-09,14:50:41,2,9,65
398,30.55,1.5,2026-02-22,12:13:58,5,5,160
399,41.31,2.31,2025-11-26,17:27:28,2,4,44
400,36.01,2.06,2025-08-18,11:16:02,1,1,203
401,33.33,1.73,2025-01-05,18:24:31,4,7,195
402,29.32,1.67,2025-03-15,20:36:49,1,8,145
403,22.14,1.24,2025-11-21,17:36:54,1,6,156
404,40.2,2.25,2025-11-16,15:55:26,2,1,70
405,9.29,0.49,2025-10-14,20:33:42,1,6,245
406,16.51,0.91,2026-01-07,20:48:07,1,1,11
407,8.85,0.4,2025-11-21,13:59:47,2,10,122
408,12.26,0.66,2025-02-01,16:05:14,1,9,152
409,67.87,3.87,2025-02-14,14:18:39,2,8,111
410,39.83,2.23,2025-10-30,14:02:41,2,6,126
411,37.5,2.15,2026-02-24,17:09:08,1,5,193
412,28.48,1.38,2025-01-07,14:25:09,5,7,165
413,27.79,1.34,2025-04-23,16:25:06,5,5,196
414,25.59,1.39,2025-08-10,13:24:12,2,2,233
415,39.45,2.2,2025-02-09,19:42:42,2,8,34
416,32.09,1.59,2026-01-23,21:52:59,5,3,194
417,13.09,0.59,2025-08-03,12:59:51,3,1,111
418,26.82,1.52,2026-03-22,13:01:55,1,3,34
419,33.11,1.71,2025-11-10,19:03:23,4,5,11
420,29.56,1.56,2025-06-12,14:44:54,3,4,43
421,17.22,0.72,2025-04-04,21:37:19,5,6,48
422,15.02,0.82,2026-01-11,16:31:16,1,10,105
423,15.28,0.78,2026-01-21,20:12:52,2,1,124
424,23.35,1.2,2025-09-25,11:10:09,3,5,87
425,39.27,2.02,2025-02-24,11:16:15,5,3,204
426,17.34,0.84,2025-01-27,15:23:36,3,4,172
427,34.11,1.71,2025-04-27,15:58:13,5,4,189
428,7.11,0.36,2025-03-15,11:06:00,1,6,170
429,16.05,0.65,2025-03-15,19:51:16,5,1,183
430,10.68,0.33,2026-02-10,18:03:51,5,10,6
431,18.33,0.78,2025-09-23,17:47:59,5,10,123
432,21.27,1.02,2025-08-29,16:41:34,4,8,75
433,19.36,0.96,2025-07-05,15:47:35,3,10,236
434,20.74,1.04,2025-06-20,15:22:47,3,7,158
435,36.08,1.83,2026-01-17,14:55:03,5,8,203
436,17.62,0.92,2025-01-04,11:15:00,2,5,14
437,20.33,1.08,2026-02-17,16:05:24,2,4,209
438,30.42,1.67,2025-06-16,13:38:27,2,4,178
439,21.17,1.07,2025-02-24,11:49:56,3,2,64
440,37.27,2.02,2025-08-16,12:59:03,3,10,229
441,21.32,1.02,2026-04-07,11:16:18,4,4,35
442,24.06,1.36,2025-02-13,21:18:37,1,10,4
443,9.12,0.42,2026-03-16,12:53:56,2,7,16
444,25.17,1.42,2025-01-03,19:53:14,1,6,139
445,27.06,1.36,2025-01-16,14:17:46,4,6,208
446,21.36,0.96,2025-01-06,20:44:11,5,3,89
447,39.67,2.22,2025-04-30,21:09:08,2,1,230
448,44.8,2.4,2025-08-15,16:47:00,4,8,133
449,14.16,0.66,2025-05-22,13:05:31,3,4,4
450,14.01,0.71,2025-06-30,19:28:30,2,3,175
451,8.65,0.45,2025-09-10,14:59:39,1,3,117
452,30.35,1.55,2025-01-01,11:13:02,4,1,170
453,14.05,0.65,2025-09-03,20:46:08,3,10,48
454,11.32,0.37,2025-10-03,18:12:13,5,7,37
455,28.88,1.58,2025-07-08,14:27:04,2,1,3
456,33.07,1.77,2025-07-26,19:35:41,3,4,84
457,31.67,1.57,2026-02-17,15:27:41,5,8,162
458,18.66,0.86,2025-10-03,13:00:35,4,8,184
459,13.86,0.76,2025-04-20,12:52:10,1,4,24
460,31.73,1.63,2025-03-21,14:59:46,4,7,218
461,29.57,1.62,2026-04-03,20:42:47,2,8,51
462,26.97,1.47,2026-02-11,13:58:44,2,6,230
463,11.64,0.39,2026-02-03,22:14:44,5,5,186
464,32.55,1.8,2026-02-01,21:37:11,2,3,52
465,21.33,1.08,2025-03-31,15:53:09,3,9,176
466,27.59,1.39,2025-04-24,13:08:51,4,4,73
467,24.94,1.29,2026-01-31,12:59:09,3,6,31
468,27.39,1.49,2025-01-14,15:02:23,2,10,140
469,9.92,0.47,2026-01-15,17:01:07,2,1,59
470,10.05,0.3,2025-08-25,15:27:50,5,10,244
471,14.52,0.62,2025-01-06,19:41:36,4,3,73
472,28.77,1.57,2025-12-05,15:11:29,2,4,78
473,27.69,1.39,2025-09-06,16:07:52,4,6,181
474,17.89,0.99,2026-02-24,19:24:11,1,10,95
475,12.16,0.66,2025-05-18,13:05:37,1,3,238
476,32.62,1.62,2025-07-13,17:35:58,5,6,29
477,38.4,2.2,2026-01-29,13:10:18,1,8,209
478,40.42,2.32,2026-02-26,16:09:28,1,4,35
479,26.22,1.37,2026-01-19,14:53:51,3,4,57
480,31.48,1.68,2025-04-02,17:19:43,3,4,101
